author,dorian-nakamoto,gavin-andresen,craig-steven-wright,nick-szabo,hal-finney,satoshi-nakamoto,david-mazieres,micheal-clear,wei-dai,roger-ver,jed-mccaleb
dorian-nakamoto,0.0,3.89571989706,4.65928564745,4.96642143962,4.49785158643,3.84967458997,4.05515544472,4.17895725764,4.68520531922,2.38817423715,2.85456680415
gavin-andresen,3.89571989706,0.0,4.31643082613,5.82279569712,4.51923825322,1.83849963519,3.97983478299,4.55119275607,4.71339588199,3.38250853848,2.50754465503
craig-steven-wright,4.65928564745,4.31643082613,0.0,5.42080427959,4.05627915057,4.29019040888,4.41903720023,2.19486266312,3.38371075012,3.80515534854,3.71736853574
nick-szabo,4.96642143962,5.82279569712,5.42080427959,0.0,5.06444219408,5.87880148609,5.34303625589,5.43147278347,5.18727642529,5.56401150438,5.85905479052
hal-finney,4.49785158643,4.51923825322,4.05627915057,5.06444219408,0.0,3.3782094483,1.47583186137,4.25026797284,5.26792930105,4.32567180469,3.78506557399
satoshi-nakamoto,3.84967458997,1.83849963519,4.29019040888,5.87880148609,3.3782094483,0.0,2.69437060041,4.45150712724,5.01237464466,3.63195460013,2.5623422262
david-mazieres,4.05515544472,3.97983478299,4.41903720023,5.34303625589,1.47583186137,2.69437060041,0.0,4.37195328109,5.20048165114,4.05820232934,3.4017160415
micheal-clear,4.17895725764,4.55119275607,2.19486266312,5.43147278347,4.25026797284,4.45150712724,4.37195328109,0.0,2.80087822052,3.39047649417,3.6328334787
wei-dai,4.68520531922,4.71339588199,3.38371075012,5.18727642529,5.26792930105,5.01237464466,5.20048165114,2.80087822052,0.0,4.32879567754,4.75020970466
roger-ver,2.38817423715,3.38250853848,3.80515534854,5.56401150438,4.32567180469,3.63195460013,4.05820232934,3.39047649417,4.32879567754,0.0,1.57628508769
jed-mccaleb,2.85456680415,2.50754465503,3.71736853574,5.85905479052,3.78506557399,2.5623422262,3.4017160415,3.6328334787,4.75020970466,1.57628508769,0.0
